id_ccaa;nombre_ccaa;abrev_ccaa;ccaa;anio;ind_fec
5;Canarias;Canarias;05 Canarias;1990;1,49
5;Canarias;Canarias;05 Canarias;1991;1,42
5;Canarias;Canarias;05 Canarias;1992;1,39
5;Canarias;Canarias;05 Canarias;1993;1,31
5;Canarias;Canarias;05 Canarias;1994;1,24
5;Canarias;Canarias;05 Canarias;1995;1,21
5;Canarias;Canarias;05 Canarias;1996;1,19
5;Canarias;Canarias;05 Canarias;1997;1,2
5;Canarias;Canarias;05 Canarias;1998;1,18
5;Canarias;Canarias;05 Canarias;1999;1,27
5;Canarias;Canarias;05 Canarias;2000;1,27
5;Canarias;Canarias;05 Canarias;2001;1,28
5;Canarias;Canarias;05 Canarias;2002;1,27
5;Canarias;Canarias;05 Canarias;2003;1,23
5;Canarias;Canarias;05 Canarias;2004;1,2
5;Canarias;Canarias;05 Canarias;2005;1,24
5;Canarias;Canarias;05 Canarias;2006;1,26
5;Canarias;Canarias;05 Canarias;2007;1,19
5;Canarias;Canarias;05 Canarias;2008;1,24
5;Canarias;Canarias;05 Canarias;2009;1,14
5;Canarias;Canarias;05 Canarias;2010;1,11
5;Canarias;Canarias;05 Canarias;2011;1,07
5;Canarias;Canarias;05 Canarias;2012;1,07
5;Canarias;Canarias;05 Canarias;2013;0,99
5;Canarias;Canarias;05 Canarias;2014;1,04
5;Canarias;Canarias;05 Canarias;2015;1,05
5;Canarias;Canarias;05 Canarias;2016;1,06
5;Canarias;Canarias;05 Canarias;2017;1,05
5;Canarias;Canarias;05 Canarias;2018;0,98
5;Canarias;Canarias;05 Canarias;2019;0,94
5;Canarias;Canarias;05 Canarias;2020;0,88
6;Cantabria;Cantabria;06 Cantabria;1975;2,63
6;Cantabria;Cantabria;06 Cantabria;1976;2,67
6;Cantabria;Cantabria;06 Cantabria;1977;2,54
6;Cantabria;Cantabria;06 Cantabria;1978;2,46
6;Cantabria;Cantabria;06 Cantabria;1979;2,27
6;Cantabria;Cantabria;06 Cantabria;1980;2,16
6;Cantabria;Cantabria;06 Cantabria;1981;2,02
6;Cantabria;Cantabria;06 Cantabria;1982;1,84
6;Cantabria;Cantabria;06 Cantabria;1983;1,71
6;Cantabria;Cantabria;06 Cantabria;1984;1,58
6;Cantabria;Cantabria;06 Cantabria;1985;1,45
6;Cantabria;Cantabria;06 Cantabria;1986;1,37
6;Cantabria;Cantabria;06 Cantabria;1987;1,32
6;Cantabria;Cantabria;06 Cantabria;1988;1,26
6;Cantabria;Cantabria;06 Cantabria;1989;1,16
6;Cantabria;Cantabria;06 Cantabria;1990;1,15
6;Cantabria;Cantabria;06 Cantabria;1991;1,09
6;Cantabria;Cantabria;06 Cantabria;1992;1,07
6;Cantabria;Cantabria;06 Cantabria;1993;1,02
6;Cantabria;Cantabria;06 Cantabria;1994;0,94
6;Cantabria;Cantabria;06 Cantabria;1995;0,92
6;Cantabria;Cantabria;06 Cantabria;1996;0,94
6;Cantabria;Cantabria;06 Cantabria;1997;0,95
6;Cantabria;Cantabria;06 Cantabria;1998;0,93
6;Cantabria;Cantabria;06 Cantabria;1999;0,97
6;Cantabria;Cantabria;06 Cantabria;2000;1,05
6;Cantabria;Cantabria;06 Cantabria;2001;1,03
6;Cantabria;Cantabria;06 Cantabria;2002;1,09
6;Cantabria;Cantabria;06 Cantabria;2003;1,15
6;Cantabria;Cantabria;06 Cantabria;2004;1,18
6;Cantabria;Cantabria;06 Cantabria;2005;1,2
6;Cantabria;Cantabria;06 Cantabria;2006;1,19
6;Cantabria;Cantabria;06 Cantabria;2007;1,22
6;Cantabria;Cantabria;06 Cantabria;2008;1,32
6;Cantabria;Cantabria;06 Cantabria;2009;1,26
6;Cantabria;Cantabria;06 Cantabria;2010;1,26
6;Cantabria;Cantabria;06 Cantabria;2011;1,22
6;Cantabria;Cantabria;06 Cantabria;2012;1,19
6;Cantabria;Cantabria;06 Cantabria;2013;1,18
6;Cantabria;Cantabria;06 Cantabria;2014;1,15
6;Cantabria;Cantabria;06 Cantabria;2015;1,15
