id_prov;nombre_prov;abrev_prov;provincia;anio;ind_fec
8;Barcelona;Barcelona;08 Barcelona;2019;1,25
8;Barcelona;Barcelona;08 Barcelona;2020;1,19
9;Burgos;Burgos;09 Burgos;1975;2,48
9;Burgos;Burgos;09 Burgos;1976;2,51
9;Burgos;Burgos;09 Burgos;1977;2,34
9;Burgos;Burgos;09 Burgos;1978;2,19
9;Burgos;Burgos;09 Burgos;1979;2
9;Burgos;Burgos;09 Burgos;1980;1,89
9;Burgos;Burgos;09 Burgos;1981;1,8
9;Burgos;Burgos;09 Burgos;1982;1,7
9;Burgos;Burgos;09 Burgos;1983;1,63
9;Burgos;Burgos;09 Burgos;1984;1,43
9;Burgos;Burgos;09 Burgos;1985;1,41
9;Burgos;Burgos;09 Burgos;1986;1,37
9;Burgos;Burgos;09 Burgos;1987;1,29
9;Burgos;Burgos;09 Burgos;1988;1,29
9;Burgos;Burgos;09 Burgos;1989;1,24
9;Burgos;Burgos;09 Burgos;1990;1,18
9;Burgos;Burgos;09 Burgos;1991;1,12
9;Burgos;Burgos;09 Burgos;1992;1,12
9;Burgos;Burgos;09 Burgos;1993;1,09
9;Burgos;Burgos;09 Burgos;1994;1,01
9;Burgos;Burgos;09 Burgos;1995;0,94
9;Burgos;Burgos;09 Burgos;1996;0,98
9;Burgos;Burgos;09 Burgos;1997;1,01
9;Burgos;Burgos;09 Burgos;1998;0,96
9;Burgos;Burgos;09 Burgos;1999;1,02
9;Burgos;Burgos;09 Burgos;2000;1,07
9;Burgos;Burgos;09 Burgos;2001;1,04
9;Burgos;Burgos;09 Burgos;2002;1,09
9;Burgos;Burgos;09 Burgos;2003;1,1
9;Burgos;Burgos;09 Burgos;2004;1,16
9;Burgos;Burgos;09 Burgos;2005;1,18
9;Burgos;Burgos;09 Burgos;2006;1,21
9;Burgos;Burgos;09 Burgos;2007;1,25
9;Burgos;Burgos;09 Burgos;2008;1,36
9;Burgos;Burgos;09 Burgos;2009;1,29
9;Burgos;Burgos;09 Burgos;2010;1,34
9;Burgos;Burgos;09 Burgos;2011;1,32
9;Burgos;Burgos;09 Burgos;2012;1,29
9;Burgos;Burgos;09 Burgos;2013;1,29
9;Burgos;Burgos;09 Burgos;2014;1,24
9;Burgos;Burgos;09 Burgos;2015;1,27
9;Burgos;Burgos;09 Burgos;2016;1,27
9;Burgos;Burgos;09 Burgos;2017;1,22
9;Burgos;Burgos;09 Burgos;2018;1,21
9;Burgos;Burgos;09 Burgos;2019;1,28
9;Burgos;Burgos;09 Burgos;2020;1,17
10;Cáceres;Cáceres;10 Cáceres;1975;2,17
10;Cáceres;Cáceres;10 Cáceres;1976;2,22
10;Cáceres;Cáceres;10 Cáceres;1977;2,17
10;Cáceres;Cáceres;10 Cáceres;1978;2,2
10;Cáceres;Cáceres;10 Cáceres;1979;2,21
10;Cáceres;Cáceres;10 Cáceres;1980;2,34
10;Cáceres;Cáceres;10 Cáceres;1981;2,22
10;Cáceres;Cáceres;10 Cáceres;1982;2,18
10;Cáceres;Cáceres;10 Cáceres;1983;2,03
10;Cáceres;Cáceres;10 Cáceres;1984;1,88
10;Cáceres;Cáceres;10 Cáceres;1985;1,83
10;Cáceres;Cáceres;10 Cáceres;1986;1,79
10;Cáceres;Cáceres;10 Cáceres;1987;1,74
10;Cáceres;Cáceres;10 Cáceres;1988;1,64
10;Cáceres;Cáceres;10 Cáceres;1989;1,54
10;Cáceres;Cáceres;10 Cáceres;1990;1,48
10;Cáceres;Cáceres;10 Cáceres;1991;1,43
10;Cáceres;Cáceres;10 Cáceres;1992;1,41
10;Cáceres;Cáceres;10 Cáceres;1993;1,34
10;Cáceres;Cáceres;10 Cáceres;1994;1,28
10;Cáceres;Cáceres;10 Cáceres;1995;1,24
10;Cáceres;Cáceres;10 Cáceres;1996;1,22
10;Cáceres;Cáceres;10 Cáceres;1997;1,2
10;Cáceres;Cáceres;10 Cáceres;1998;1,2
